"[('Cuma', 10), ('Cuma', 11)]","[('Cuma', 14), ('Cuma', 15)]","[('Cuma', 14), ('Cuma', 15)]","[('Cuma', 10), ('Cuma', 11)]",Garbage
171104002,161301005.0,151101079,151101047,151101034.0
151101030,121101048.0,151101040,171101047,161101003.0
121101045,161101015.0,171101070,171101055,161101057.0
171101025,171101079.0,171101028,171301066,151101073.0
171101071,171101011.0,171101034,161101072,
161101074,161101055.0,171101078,161101063,
171101051,171101002.0,141101031,171101027,
171101044,161101031.0,161101065,171101041,
171101038,171101026.0,171101048,151101078,
171101012,171101036.0,171101035,171101059,
171101052,171101008.0,171101031,171101049,
171101013,171101068.0,171101043,171101054,
171101037,151101072.0,181101071,181101006,
181101055,181101049.0,181101057,181101078,
181101009,181101026.0,181101075,181101036,
181101010,181101012.0,181101004,181101023,
181101051,161101042.0,171101006,171101022,
181101069,171101017.0,171101033,171101042,
181101066,161101075.0,171101065,161101029,
141101058,161101051.0,151101075,171101050,
161101023,171101029.0,171101072,181103001,
161101071,181101064.0,161101008,171101045,
181101034,181101074.0,181101035,181101014,
181101052,181101056.0,181101011,181101068,
161104001,181101038.0,171101066,171101073,
161101033,,171101018,171101075,
