"[('Çarşamba', 14), ('Çarşamba', 15)]","[('Çarşamba', 12), ('Çarşamba', 13)]",Garbage
141101040,151101037.0,
151101063,161120007.0,
161101032,141101041.0,
152401028,161101017.0,
171101056,141101075.0,
131101045,161201076.0,
161101039,151101008.0,
161101021,151101032.0,
171104001,161101061.0,
171101015,141101064.0,
151101080,161101057.0,
101101038,131101040.0,
161101034,161101043.0,
141101046,171101024.0,
161101006,161101010.0,
151101041,141101029.0,
131101029,171101039.0,
161101045,141101027.0,
171101061,151101046.0,
161101040,171101060.0,
161101013,121101062.0,
141101037,171101001.0,
121101060,131101069.0,
121101040,161101018.0,
151101068,171101010.0,
151101003,171101030.0,
161101009,161101035.0,
131101004,151101061.0,
141201001,,
